25/01/2010 12:21:17 : Starting build.
25/01/2010 13:55:58 : Extracting : R:\data\documentation\quest_pdf\puberty\Q1506f_PUB6.pdf
25/01/2010 13:55:59 : Extracting : R:\data\documentation\quest_pdf\puberty\Q1506m_PUB6.pdf
25/01/2010 13:55:59 : Extracting : R:\data\documentation\quest_pdf\puberty\Q1507f_PUB7.pdf
25/01/2010 13:55:59 : Extracting : R:\data\documentation\quest_pdf\puberty\Q1507m_PUB7.pdf
25/01/2010 13:56:00 : Extracting : R:\data\documentation\quest_pdf\puberty\Q1508f_PUB8.pdf
25/01/2010 13:56:00 : Extracting : R:\data\documentation\quest_pdf\puberty\Q1508m_PUB8.pdf
25/01/2010 13:56:00 : Creating Index
25/01/2010 13:56:05 :   Total PDF files in all directories : 84
25/01/2010 13:56:05 :   Total new files : 84
25/01/2010 13:56:05 :   Total pages indexed : 1778
25/01/2010 13:56:05 :   Total number of files skipped : 0
25/01/2010 13:56:05 :   Total deleted files : 0
25/01/2010 13:56:05 : Index build successful.

25/01/2010 19:34:27 : Starting rebuild
25/01/2010 19:34:27 : Deleting files from current index
25/01/2010 19:34:27 : Deleting : R:\data\documentation\Indexes\Child_Questionnaire_Index\index.idx
25/01/2010 19:34:27 : Deleting : R:\data\documentation\Indexes\Child_Questionnaire_Index\index1.idx
25/01/2010 19:34:27 : Searching : R:\data\documentation\quest_pdf\childb\
25/01/2010 19:34:28 : Searching : R:\data\documentation\quest_pdf\childc\
25/01/2010 19:34:29 : Searching : R:\data\documentation\quest_pdf\focus\
25/01/2010 19:34:29 : Searching : R:\data\documentation\quest_pdf\Quest\Puberty\
25/01/2010 19:34:29 : Searching : R:\data\documentation\quest_pdf\Quest\Schools\
25/01/2010 19:34:30 : Indexing 84 files
25/01/2010 19:34:30 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb01__my_young_baby_girl.pdf
25/01/2010 19:34:30 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb02__my_daughter.pdf
25/01/2010 19:34:31 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb03__my_infant_daughter.pdf
25/01/2010 19:34:32 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb04__girl_toddler.pdf
25/01/2010 19:34:32 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb05__my_little_girl.pdf
25/01/2010 19:34:33 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb06__my_study_son.pdf
25/01/2010 19:34:33 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb07__my_3_year_old_boy.pdf
25/01/2010 19:34:34 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb08__my sons health and behaviour.pdf
25/01/2010 19:34:35 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb09__my young 4 year old boy.pdf
25/01/2010 19:34:36 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb10__development_and_health_of_my_son.pdf
25/01/2010 19:34:37 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb11__my_five_year_old_son.pdf
25/01/2010 19:34:38 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb12__my_school_boy.pdf
25/01/2010 19:34:39 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb13__my_daughter_growing_up.pdf
25/01/2010 19:34:40 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb14__my_son_at_school.pdf
25/01/2010 19:34:41 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb15__my_daughters_well_being.pdf
25/01/2010 19:34:42 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb17__my_sons_health.pdf
25/01/2010 19:34:43 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb18__my_daughter_at_home_and_at_school.pdf
25/01/2010 19:34:44 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb19__your_son_at_9.pdf
25/01/2010 19:34:46 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb21__girl_health_and_happiness.pdf
25/01/2010 19:34:47 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb23__being_a_girl.pdf
25/01/2010 19:34:48 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb25__my_teenage_son.pdf
25/01/2010 19:34:49 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb26__Wellbeing_of_my_teenage_daughter.pdf
25/01/2010 19:34:51 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb27__Your_Daughter_16+_Years_On.pdf
25/01/2010 19:34:52 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb51__Year11_Parent_Carer.pdf
25/01/2010 19:34:53 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c01__your_own_questionnaire.pdf
25/01/2010 19:34:53 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c02__my_second_questionnaire.pdf
25/01/2010 19:34:53 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c03__your_next_questionnaire.pdf
25/01/2010 19:34:53 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c04__growing_up.pdf
25/01/2010 19:34:53 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c05__my_questionnaire.pdf
25/01/2010 19:34:53 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c06__things_for_you_to_do.pdf
25/01/2010 19:34:53 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c07__my_teeth.pdf
25/01/2010 19:34:54 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c08__me_and_my_school.pdf
25/01/2010 19:34:54 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c09__some_more_about_me.pdf
25/01/2010 19:34:55 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c10__my_world.pdf
25/01/2010 19:34:55 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c11__my_hands_my_feet_and_me.pdf
25/01/2010 19:34:56 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c12__rings_and_things.pdf
25/01/2010 19:34:56 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c13__teeth_and_things_boy.pdf
25/01/2010 19:34:57 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c14__school_life_and_me.pdf
25/01/2010 19:34:57 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c15__watches_and_funny_feelings.pdf
25/01/2010 19:34:58 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c16__all_around_me.pdf
25/01/2010 19:34:58 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c17__food_and_things.pdf
25/01/2010 19:34:58 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c18__reading_and_singing.pdf
25/01/2010 19:34:59 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c19__travelling_leisure_and_school.pdf
25/01/2010 19:35:00 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c20__girls_experiences_thoughts_and_behaviour.pdf
25/01/2010 19:35:01 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c51__year11_young_people.pdf
25/01/2010 19:35:01 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c52__you_and_your_friends.pdf
25/01/2010 19:35:02 : Extracting : R:\data\documentation\quest_pdf\childc\ques_q21__life_of_a_teenager.pdf
25/01/2010 19:35:02 : Extracting : R:\data\documentation\quest_pdf\childc\ques_q22__Life_of_a_16_plus_Teenager.pdf
25/01/2010 19:35:04 : Extracting : R:\data\documentation\quest_pdf\focus\Focus07_intro.pdf
25/01/2010 19:35:04 : Extracting : R:\data\documentation\quest_pdf\focus\Focus08_intro.pdf
25/01/2010 19:35:04 : Extracting : R:\data\documentation\quest_pdf\focus\Focus09_intro.pdf
