25/01/2010 12:07:55 : Starting build.
26/01/2010 09:57:17 : Extracting : R:\data\documentation\built_pdf\Quest\Schools\D1604_SABC.pdf
26/01/2010 09:57:34 : Extracting : R:\data\documentation\built_pdf\Quest\Schools\D1605_SD.pdf
26/01/2010 09:57:36 : Extracting : R:\data\documentation\built_pdf\Quest\Schools\D1609_SEFG.pdf
26/01/2010 09:57:56 : Extracting : R:\data\documentation\built_pdf\Quest\Schools\D1610_SH.pdf
26/01/2010 09:58:01 : Extracting : R:\data\documentation\built_pdf\Quest\Schools\D1614_SK.pdf
26/01/2010 09:58:05 : Extracting : R:\data\documentation\built_pdf\External\Education\D3101_SATS.pdf
26/01/2010 09:58:07 : Extracting : R:\data\documentation\built_pdf\External\Education\D3102_KS2.pdf
26/01/2010 09:58:09 : Extracting : R:\data\documentation\built_pdf\External\Education\D3103_KS3.pdf
26/01/2010 09:58:12 : Extracting : R:\data\documentation\built_pdf\External\Education\D3104_PLASC.pdf
26/01/2010 09:58:14 : Extracting : R:\data\documentation\built_pdf\Quest\Child Completed\D1407_CCB.pdf
26/01/2010 09:58:17 : Extracting : R:\data\documentation\built_pdf\Quest\Child Completed\D1408_CCC.pdf
26/01/2010 09:58:19 : Extracting : R:\data\documentation\built_pdf\Quest\Child Completed\D1409_CCD.pdf
26/01/2010 09:58:21 : Extracting : R:\data\documentation\built_pdf\Quest\Child Completed\D1410_CCE.pdf
26/01/2010 09:58:23 : Extracting : R:\data\documentation\built_pdf\Quest\Child Completed\D1411_CCF.pdf
26/01/2010 09:58:26 : Extracting : R:\data\documentation\built_pdf\Quest\Child Completed\D1412_CCG.pdf
26/01/2010 09:58:28 : Extracting : R:\data\documentation\built_pdf\Quest\Child Completed\D1413_CCH.pdf
26/01/2010 09:58:31 : Extracting : R:\data\documentation\built_pdf\Quest\Child Completed\D1414_CCJ.pdf
26/01/2010 09:58:34 : Extracting : R:\data\documentation\built_pdf\Quest\Child Completed\D1415_CCK.pdf
26/01/2010 09:58:37 : Extracting : R:\data\documentation\built_pdf\Quest\Child Completed\D1416_CCL.pdf
26/01/2010 09:58:39 : Extracting : R:\data\documentation\built_pdf\Quest\Child Completed\D1417_CCM.pdf
26/01/2010 09:58:42 : Extracting : R:\data\documentation\built_pdf\Quest\Child Completed\D1418_CCN.pdf
26/01/2010 09:58:44 : Extracting : R:\data\documentation\built_pdf\Quest\Child Completed\D1419_CCP.pdf
26/01/2010 09:58:50 : Extracting : R:\data\documentation\built_pdf\Quest\Child Completed\D1420_CCQ.pdf
